I have	"J'ai"
we said / told	nous avons dit
he she said / told	il elle a dit
they said / told	ils elles ont dit
About	environ
"J'ai"	I have
tu as / vous aves	you have
ill/elle a	he/she has
nous avons	we have
ils/elles ont	they have
je suis	I am&nbsp;
tu es / vous êtes	you are
il/elle est	he/she is
nous sommes	we are
ils/elles sont	they are
aller retour	round trip
aller simple (sampl)	one way
retard (re-tar)	delay
le casque (cask)	helmet
le cycliste (cee-clest)	cyclist
le vélo	bike
la lampe	light
la côte	slope
la chaîne	chain (bike)
la montée (mont-ee)	climb (bike)
la crevason (cray-va-son)	puncture
Je ne comprends pas (je nu compron pa)	I do not understand
parlez lentement (parlay lan-te-mon)	speak slowly
Répétez (repeat-e)	Repeat
Est-ce que je paux payer avec un carte	can I pay with a card
Combien ça coûte	how much does it cost
je vais (vay)	I go
tu vas/ vous allez (allay)	you go
il/elle va	he/she goes
nous allons	we go
ils/elles vont	they go
je fais (fay)	i do
tu fais/vous faites (fay-te)	you do
il/elle fait (fay)	he/she does
nous faisons (fva-son)	we do
ils/elles font (fo-en)	they do
je dis (de)	I say
tu dis/ vous dites (di-te)	you say
il/elle dit	he/she says
nous disons (de-son)	we say
ils/elles disent (diis)	they say
onze	11
douze	12
treize	13
quat-orze	14
quinze (kaans)	15
seize (say-ze)	16
dix-sept	17
dix-huit	18
dix-neuf	19
vingt	20
trente (traunt)	30
quarante (ka-ront)	40
cinquante (sank ont)	50
soixante (swa-sont)	60
Septante	70
Quartre vingt	80
Nonante	90
cent (sa-n)	100
je ne parl pas boucoup de francais	i dont speak much franch
comment dire ca en francais? (komon deer sa)	how do you say that in french
"qu'wst-ce que ca veut dire (kess kuh sa vuh deer)"	what does that mean
pouvez-vous parlez plus lentement sil vous plait?	can you speak more slowly please
"est ce que vous pouvez l'ecrire s'il vous plait"	can you please write that down
je prends (praw-n)	i take
tu prends / vous prenez (pren-e)	you take
il/elle prend	he/she takes
nous prenons (prawn-on)	we take
ils/elles prennents (pren)	they take
lundi (lun-de)	Monday
mardi	Tuesday
Mercredi (mec-ra-de)	wednesday
Jeudi	Thursday
Vendredi (von-dra-de)	Friday
samedi	saturday
dimanche	sunday
"j'aime"	I like
tu aimes / vous aimez (aim-e)	you like
il/elle aime	he/she likes
nous aimons	we like
ils/elles aiment (aime)	they like
je fais	I do
Je Sais (say)	I know
tu sais / vous savez (savay)	you know
il/elle sait	he/she knows
nous savons	we know
ils/elles savent (sav)	they know
