I have	"J'ai"
je achète	I buy
you buy	tu achètes / vous achètez
tu achètes / vous achètez	you buy
We buy	nous achètons
nous achètons	We buy
We bought (PC)	nous avons acheté
nous avons acheté	We bought (PC)
I bought (PC)	"J'ai acheté"
"J'ai acheté"	I bought (PC)
you bought (PC)	tu as acheté / vous avez acheté
tu as acheté / vous avez acheté	you bought (PC)
we bought (imparfait)	nous achetions
nous achetions	we bought (imparfait)
i bought (imparfait)	"j' achetais"
"j' achetais"	i bought (imparfait)
you bought (imparfait)	tu achetais / vous achetaiez
tu achetais / vous achetaiez	you bought (imparfait)
To acquire	acquérir
acquérir	To acquire
I aquire	"j'acquiers (aki-air)"
"j'acquiers (aki-air)"	I aquire
you acquire	tu acquiers / vous acquérez
tu acquiers / vous acquérez	you acquire
we acquire	nous acquérons (akay-ron)
nous acquérons (akay-ron)	we acquire
I aquired (PC)	"j'ai acquis (a-key)"
"j'ai acquis (a-key)"	I aquired (PC)
you acquired (PC)	tu as acquis / vous avez acquis
tu as acquis / vous avez acquis	you acquired (PC)
we aquired (PC)	nous avons acquis
nous avons acquis	we aquired (PC)
I acquired (Imparfait)	"j'acquérais"
"j'acquérais"	I acquired (Imparfait)
you acquired (Imparfait)	tu acquérais / vous acquéraient
tu acquérais / vous acquéraient	you acquired (Imparfait)
we acquired (Imparfait)	nous acquérions
nous acquérions	we acquired (Imparfait)
To drive	Conduire
Conduire	To drive
I drive	je conduis
je conduis	I drive
you drive	tu conduis / vous conduisez&nbsp;
tu conduis / vous conduisez&nbsp;	you drive
we drive	nous conduisons
nous conduisons	we drive
I drove (PC)	"j'ai conduit"
"j'ai conduit"	I drove (PC)
you drove PC	tu as conduit / vous avez conduit
tu as conduit / vous avez conduit	you drove PC
Memory	souvenir
souvenir	Memory
To lend	prêter
prêter	To lend
marque	brand
brand	marque
headache	mal à la tête
mal à la tête	headache
to rest	reposer
reposer	to rest
To attach /tie up	Attacher
Attacher	To attach /tie up
Loyalty	Le fidéliser
Le fidéliser	Loyalty
To forget	oublier
oublier	To forget
The study of...	"L'etude des..."
"L'etude des..."	The study of...
To believe	croire
croire	To believe
To struggle	lutter
lutter	To struggle
To support	soutenir
soutenir	To support
To wonder	se demander
se demander	To wonder
To hide	Cacher
Cacher	To hide
Theif	le voleur
le voleur	Theif
Any	Aucune
Aucune	Any
To play / to enjoy oneself	"s'amuser"
"s'amuser"	To play / to enjoy oneself
i play / i enjoy myself	"je m'amuse"
"je m'amuse"	i play / i enjoy myself
you play / enjoy yourself	"tu t'amuses / vous vous amusez"
"tu t'amuses / vous vous amusez"	you play / enjoy yourself
we play / enjoy ourselfs	nous nous amusons
nous nous amusons	we play / enjoy ourselfs
I played / enjoyed myself	je me suis amusé
je me suis amusé	I played / enjoyed myself
you played / enjoyed yourself (PC)	"tu t'est amusé / vous vous etes amusé"
"tu t'est amusé / vous vous etes amusé"	you played / enjoyed yourself (PC)
we played / enjoyed myself (PC)	nous nous sommes amusés
nous nous sommes amusés	we played / enjoyed myself (PC)
I played / enjoyed myself (Imparfait)	"je m'amusais"
"je m'amusais"	I played / enjoyed myself (Imparfait)
you played / enjoyed myself (Imparfait)	"tu t'amusais / vous vous amusiez"
"tu t'amusais / vous vous amusiez"	you played / enjoyed myself (Imparfait)
we played / enjoyed myself (Imparfait)	nous nous amusions
nous nous amusions	we played / enjoyed myself (Imparfait)
the sheep	le mouton
le mouton	the sheep
the tail	la queue
la queue	the tail
the pedal	la pédale
la pédale	the pedal
Cycle path	la piste cyclable
la piste cyclable	Cycle path
First (I first do....)	"D'abord"
"D'abord"	First (I first do....)
i reach	"j'atteins (a-tan)"
"j'atteins (a-tan)"	i reach
you reach	tu atteins / vous atteignez (atten-gye)
tu atteins / vous atteignez (atten-gye)	you reach
we reach	nous atteignons
nous atteignons	we reach
i reached (PC)	"j'ai atteint (a-tan)"
"j'ai atteint (a-tan)"	i reached (PC)
you reached (PC)	tu as atteint / vous avez atteint
tu as atteint / vous avez atteint	you reached (PC)
we reached (PC)	nous avons atteint
nous avons atteint	we reached (PC)
I reached (Imparfait)	"j'atteignais (atten-gyay)"
"j'atteignais (atten-gyay)"	I reached (Imparfait)
you reached (imparfait)	"t'atteingnais / vous atteigniez"
"t'atteingnais / vous atteigniez"	you reached (imparfait)
we reached (imparfait)	nous atteignions
nous atteignions	we reached (imparfait)
I run	je cours (coo-ur)
je cours (coo-ur)	I run
you run	tu cours / vous courez
tu cours / vous courez	you run
we run	nous courons
nous courons	we run
I ran (PC)	"j'ai couru"
"j'ai couru"	I ran (PC)
you ran (PC)	tu as couru / vous avez couru
tu as couru / vous avez couru	you ran (PC)
we ran (PC)	nous avons couru
nous avons couru	we ran (PC)
I ran (imparfait)	je courais
je courais	I ran (imparfait)
you ran (imparfait)	tu courais / vous couriez
tu courais / vous couriez	you ran (imparfait)
we ran (imparfait)	nous courions
nous courions	we ran (imparfait)
To laugh	rire
rire	To laugh
To hold / keep	Tenir
Tenir	To hold / keep
Sentence	phrase
phrase	Sentence
Wheel	Roue
Roue	Wheel
Stearing wheel	roue directrice
roue directrice	Stearing wheel
bone	os
os	bone
My pocket	ma poche
ma poche	My pocket
torn / ripped	déchirée (de-shery)
déchirée (de-shery)	torn / ripped
suspicion	soupçon
soupçon	suspicion
To whistle	siffler (sif-lay)
siffler (sif-lay)	To whistle
Should	Devrait
Devrait	Should
To be feeling	Se sentir
Se sentir	To be feeling
Knee	le genou (zjen-ou)
le genou (zjen-ou)	Knee
To smell	sentir (same as to feel)
sentir (same as to feel)	To smell
I become	je deviens
je deviens	I become
you become	tu deviens / vous devenez
tu deviens / vous devenez	you become
we become	nous duvenons
nous duvenons	we become
I became (PC)	je suis devenu
je suis devenu	I became (PC)
you became (PC)	tu es devenu / vous etes devenu
tu es devenu / vous etes devenu	you became (PC)
we became (PC)	nous sommes devenus
nous sommes devenus	we became (PC)
I became (Imparfait)	je devenais
je devenais	I became (Imparfait)
you became (Imparfait)	tu devenais / vous deveniez
tu devenais / vous deveniez	you became (Imparfait)
Annual subscription	Abonnement annuel
Abonnement annuel	Annual subscription
Fog	le brouillard
le brouillard	Fog
the sky	Le ciel
Le ciel	the sky
east	"l'est"
"l'est"	east
cloud	le nuage
le nuage	cloud
the west	"l'ouest"
"l'ouest"	the west
the wind	le vent
le vent	the wind
ice	la glace
la glace	ice
snow	la neige
la neige	snow
rain	la pluie
la pluie	rain
screw driver	le tournevis
le tournevis	screw driver
Spanner	la clef
la clef	Spanner
saw (tool)	la scie
la scie	saw (tool)
Pliers	les pinces (pense)
les pinces (pense)	Pliers
mast	le mât (ma)
le mât (ma)	mast
last week	la semaine dernière
la semaine dernière	last week
next week	la semaine prochaine
la semaine prochaine	next week
last	dernier
dernier	last
I bring (people/animals/vehicles)	"j'amène"
"j'amène"	I bring (people/animals/vehicles)
you bring (people/animals/vehicles)	tu amène / vous amenez
tu amène / vous amenez	you bring (people/animals/vehicles)
we bring (people/animals/vehicles)	nous amenons
nous amenons	we bring (people/animals/vehicles)
I believe	je crois
je crois	I believe
you believe	tu crois / vous croyez
tu crois / vous croyez	you believe
we believe	nous croyons
nous croyons	we believe
I believed (PC)	"j'ai cru"
"j'ai cru"	I believed (PC)
you believed (PC)	tu as cru / vous avez cru
tu as cru / vous avez cru	you believed (PC)
we believed (PC)	nous avons cru
nous avons cru	we believed (PC)
i believed (Imparfait)	je croyais
je croyais	i believed (Imparfait)
you believed (Imparfait)	tu croyais / vous croyiez
tu croyais / vous croyiez	you believed (Imparfait)
we believed (Imparfait)	nous croyions
nous croyions	we believed (Imparfait)
Invoice/ bill	la facture
la facture	Invoice/ bill
That one	Celui-là
Celui-là	That one
To want	Vouloir
Vouloir	To want
To prick or bite ones self	Se piquer
Se piquer	To prick or bite ones self
To move yourself	Se déplacer
Se déplacer	To move yourself
To clean	nettoyer
nettoyer	To clean
To clean 	servir
servir	To clean 
To sweep	balayer
balayer	To sweep
To tidy	Ranger
Ranger	To tidy
To order (categorise)	 Ordener
 Ordener	To order (categorise)
To lighten/illuminate	Éclairer
Éclairer	To lighten/illuminate
To throw	Jetter
Jetter	To throw
To dry yourself	Se sécher
Se sécher	To dry yourself
To try	"S'essayer"
"S'essayer"	To try
To taste	Goûter
Goûter	To taste
To die	Mourir
Mourir	To die
To fall	Tomber
Tomber	To fall
To lower	Baisser
Baisser	To lower
To cough	Tousser
Tousser	To cough
To expose	"S'exposer"
"S'exposer"	To expose
To apply	Appliquer
Appliquer	To apply
To apply ( for a job)	Postuler
Postuler	To apply ( for a job)
I speak fluently	Je parle couramment
Je parle couramment	I speak fluently
Daughter in law	La belle fille
La belle fille	Daughter in law
Niece	Nièce
Nièce	Niece
Nephew	Le neveu
Le neveu	Nephew
An account	Un compte
Un compte	An account
A screen	Un écran
Un écran	A screen
